optimal,Avg_max_fit,Gen,Dataset,CosDist,Hof,,,1,2,3,4,5,6,7
52225,6,38,"[1, 3, 6, 10, 6, 10, 6, 10, 4, 2]",0.16432835,"div(concatenate(repeat(div(sub(if_then_else([6], subOneAll(div(subOneAll(subOneAll(if_then_else(add(addOneAll([8]), subOneAll(concatenate(addOneAll(repeat(concatenate([1], [2]))), if_then_else(mul(if_then_else([5], [13], [7], [6]), repeat([11])), sub(concatenate([3], [11]), div([3], [11])), mul(add([6], [5]), div([10], [9])), div(concatenate([5], [4]), if_then_else([10], [2], [10], [10])))))), if_then_else(if_then_else([2], [12], [9], [13]), if_then_else([1], [1], [10], [6]), add([11], [12]), if_then_else([9], [6], [11], [13])), div(mul([2], [2]), sub([12], [12])), if_then_else(sub([3], [1]), concatenate([13], [7]), div([9], [3]), subOneAll([7]))))), div(div(add(addOneAll(add([2], [3])), addOneAll(addOneAll([2]))), if_then_else(repeat(sub([2], [3])), if_then_else(mul([7], [10]), if_then_else([6], [13], [11], [6]), subOneAll([8]), subOneAll([2])), div(add([2], [12]), sub([4], [13])), subOneAll(if_then_else([12], [8], [4], [13])))), addOneAll(if_then_else(subOneAll(repeat([13])), concatenate(add([12], [4]), if_then_else([10], [12], [5], [7])), subOneAll(concatenate([2], [11])), sub(div([8], [5]), repeat([2]))))))), [6], [7]), addOneAll([12])), addOneAll(sub([3], [9])))), if_then_else(div(add(repeat([10]), addOneAll([4])), sub(mul([9], [4]), add([10], [13]))), add(add(div([11], [7]), addOneAll([7])), add(div([12], [3]), mul([2], [4]))), repeat(subOneAll(addOneAll([13]))), subOneAll(subOneAll(div([9], [2]))))), addOneAll(subOneAll(if_then_else(div(addOneAll([9]), mul([4], [11])), repeat(addOneAll(subOneAll([10]))), add(addOneAll([9]), mul([1], [1])), mul(mul([12], [2]), mul([2], [4]))))))","[6, 1, 6, 1, 10, 4, 2]",1,6,1,6,1,10,4,2
52529,6,19,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.30689672,"if_then_else(subOneAll(concatenate(concatenate([7], [6]), [7])), repeat(mul(if_then_else([5], [10], [13], [10]), concatenate([7], add(concatenate([12], [3]), add([6], [11]))))), addOneAll(mul(addOneAll([11]), add([4], [6]))), subOneAll(if_then_else(if_then_else([5], [12], [7], repeat(addOneAll(sub(if_then_else(concatenate(add(div([13], [11]), add([6], [1])), if_then_else(div([12], [12]), repeat([3]), addOneAll([12]), subOneAll([3]))), subOneAll(subOneAll(div([2], [11]))), div(if_then_else(sub([1], [5]), concatenate([11], [1]), mul([13], [1]), concatenate([4], [2])), add(subOneAll([8]), subOneAll(subOneAll(subOneAll(addOneAll(sub([13], [1]))))))), concatenate(addOneAll(if_then_else([12], [4], [8], [9])), sub(repeat([5]), mul([9], [9])))), subOneAll(repeat(subOneAll(sub([4], [6])))))))), addOneAll([3]), sub(div([11], [8]), [12]), sub([4], [2]))))","[6, 5, 6, 4, 6, 2]",2,6,5,6,4,6,2,
52770,6,23,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.207881966,"repeat(if_then_else(sub(mul(mul(addOneAll([7]), subOneAll([10])), add([7], [13])), subOneAll(mul([7], [3]))), if_then_else(concatenate(add([3], [5]), mul([13], [6])), repeat(concatenate([8], [12])), div(div(repeat(repeat(if_then_else(concatenate([11], [7]), subOneAll([5]), addOneAll([9]), add([8], [3])))), concatenate(mul(addOneAll(concatenate([5], [4])), mul(if_then_else([1], [5], [4], [13]), addOneAll([5]))), sub(mul(addOneAll([4]), sub([5], [6])), concatenate(mul([9], [7]), addOneAll([4]))))), addOneAll(if_then_else(div(if_then_else(sub([11], [4]), subOneAll([13]), div([6], [2]), div([2], [9])), div(if_then_else([1], [9], [8], [9]), div([5], [7]))), concatenate(repeat(mul([7], [10])), if_then_else(sub([9], [13]), mul([9], [9]), if_then_else([1], [5], [12], [6]), if_then_else([11], [2], [6], [7]))), mul(addOneAll(subOneAll([2])), add(div([9], [11]), div([2], [10]))), addOneAll(subOneAll(addOneAll([1])))))), mul(concatenate([4], [9]), subOneAll([12]))), sub(div(concatenate([10], [9]), sub([6], [4])), sub(if_then_else([13], [2], [13], [10]), sub([9], [4]))), addOneAll(if_then_else(if_then_else([5], [9], [7], [2]), sub([9], [13]), sub([10], [12]), subOneAll([9])))))","[6, 10, 5, 6, 10, 5]",3,6,10,5,6,10,5,
53055,6,20,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.158374588,"subOneAll(subOneAll(if_then_else(sub(addOneAll(sub(concatenate([5], [2]), if_then_else([1], [7], [4], [10]))), mul(add(div([12], [11]), sub([6], [4])), mul([4], [12]))), add(div(concatenate(addOneAll([12]), subOneAll([8])), subOneAll(if_then_else([4], [5], [11], [8]))), if_then_else(subOneAll(mul(if_then_else(if_then_else(sub(repeat([1]), repeat([3])), sub(concatenate([9], [5]), repeat([4])), mul(if_then_else([2], [8], [9], [3]), subOneAll([5])), add(sub([7], [6]), mul([3], [4]))), repeat(mul(sub([9], [1]), concatenate([3], [6]))), div(add(add([3], [10]), add([4], [2])), div(mul([10], [11]), concatenate([9], [2]))), div(concatenate(add([11], [10]), if_then_else([7], [3], [4], [9])), sub(mul([5], [4]), repeat([2])))), if_then_else(subOneAll(add(sub([5], [2]), addOneAll([4]))), div(concatenate(if_then_else([9], [2], [2], [12]), add([11], [11])), addOneAll(mul([3], [1]))), subOneAll(repeat(addOneAll([4]))), concatenate(add(mul([1], [8]), add([3], [6])), addOneAll(div([5], [7])))))), add(repeat(div(subOneAll(addOneAll(sub([2], [3]))), add(add(div([4], [9]), add([5], [5])), repeat(concatenate([2], [13]))))), div(if_then_else(div(mul(mul([12], [4]), concatenate([11], [7])), add(if_then_else([8], [5], [7], [5]), concatenate([8], [7]))), sub(mul(sub([7], [9]), div([9], [5])), sub(concatenate([8], [12]), add([2], [10]))), addOneAll(subOneAll(if_then_else([7], [7], [4], [11]))), repeat(add(add([1], [4]), mul([3], [1])))), add(mul(addOneAll(sub([4], [12])), repeat(repeat([10]))), add(subOneAll(subOneAll([9])), add(concatenate([6], [8]), sub([9], [2])))))), sub(mul(repeat(subOneAll(subOneAll(sub([11], [11])))), repeat(sub(concatenate(add([10], [4]), repeat([6])), repeat(mul([12], [3]))))), addOneAll(addOneAll(sub(addOneAll(concatenate([5], [6])), add(mul([13], [8]), add([9], [9])))))), add(repeat(add(mul(mul(div([13], [3]), subOneAll([9])), div(sub([6], [10]), mul([6], [13]))), mul(add(repeat([8]), concatenate([2], [3])), repeat(add([9], [12]))))), if_then_else(mul(concatenate(concatenate(if_then_else([4], [6], [3], [7]), concatenate([9], [5])), subOneAll(add([7], [7]))), if_then_else(subOneAll(add([13], [6])), if_then_else(add([12], [8]), addOneAll([2]), add([1], [1]), repeat([11])), add(div([1], [13]), sub([11], [12])), add(add([11], [7]), subOneAll([2])))), concatenate(subOneAll(div(concatenate([2], [11]), subOneAll([2]))), addOneAll(addOneAll(add([9], [12])))), concatenate(repeat(if_then_else(concatenate([7], [4]), addOneAll([12]), concatenate([3], [2]), sub([1], [1]))), sub(if_then_else(subOneAll([11]), sub([13], [7]), add([3], [12]), if_then_else([12], [8], [10], [10])), subOneAll(div([4], [3])))), div(subOneAll(repeat(if_then_else([5], [6], [2], [4]))), if_then_else(repeat(div([3], [6])), concatenate(sub([9], [3]), addOneAll([9])), subOneAll(repeat([10])), div(addOneAll([11]), sub([6], [6])))))))), div(add(repeat(repeat([12])), addOneAll(if_then_else([9], [11], [2], [1]))), mul(repeat(mul([9], [5])), mul(repeat([13]), mul([2], [6])))), mul(repeat(if_then_else(repeat([10]), mul([1], subOneAll(repeat(addOneAll(if_then_else(concatenate(sub([2], [4]), add([5], [1])), if_then_else(add([9], [1]), concatenate([3], [11]), mul([2], [10]), mul([5], [6])), addOneAll(add([8], [12])), add(add([9], [11]), subOneAll([13]))))))), add([4], [9]), add([12], [7]))), concatenate(mul(if_then_else([6], [5], [5], [4]), repeat([12])), concatenate(div([5], [2]), subOneAll([9])))))))","[4, 6, 10, 10, 10, 13]",4,4,6,10,10,10,13,
53316,5,26,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.028174684,"concatenate(sub(concatenate(add([4], [5]), if_then_else(mul([4], [11]), [13], [4], [6])), div(mul(div(concatenate(repeat(repeat(subOneAll(add(concatenate(subOneAll(concatenate(concatenate(mul(concatenate(concatenate([10], [13]), if_then_else([6], [7], [13], [1])), addOneAll(mul([10], [11]))), concatenate(addOneAll(mul([1], [3])), div(sub([8], [4]), addOneAll([9])))), concatenate(if_then_else(if_then_else(sub([9], [3]), if_then_else([7], [3], [9], addOneAll(sub(subOneAll(concatenate(sub(concatenate(if_then_else([12], [9], [6], [3]), div([12], [6])), sub(if_then_else([11], [7], [13], [7]), sub([12], [5]))), concatenate(addOneAll(subOneAll([2])), addOneAll(repeat([6]))))), concatenate(subOneAll(mul(add(mul([1], [5]), repeat([8])), sub(addOneAll([5]), subOneAll([5])))), sub(subOneAll(sub(concatenate([9], [9]), subOneAll([12]))), repeat(sub(repeat([11]), repeat([5])))))))), mul([6], [2]), mul([9], [7])), sub(addOneAll([4]), if_then_else([12], [4], [2], [4])), sub(subOneAll([4]), if_then_else([3], [13], [7], [9])), subOneAll(add([2], [7]))), repeat(concatenate(repeat([5]), addOneAll([13])))))), sub(div(subOneAll(mul(concatenate(add([4], [1]), div([10], [10])), sub(add([9], [5]), sub([6], [4])))), mul(if_then_else(mul(addOneAll([12]), repeat([9])), subOneAll(if_then_else([1], [5], [4], [7])), sub(div([1], [6]), sub([4], [11])), concatenate(repeat([5]), add([7], [5]))), add(concatenate(sub([6], [5]), repeat([13])), sub(mul([11], [5]), addOneAll([1]))))), sub(concatenate(subOneAll(addOneAll(sub([9], [10]))), if_then_else(repeat(subOneAll([6])), subOneAll(subOneAll([6])), sub(addOneAll([6]), repeat([9])), div(sub([9], [1]), div([6], [5])))), sub(sub(concatenate(addOneAll([4]), if_then_else([6], [13], [1], [5])), add(sub([4], [6]), subOneAll([5]))), concatenate(add(concatenate([11], [13]), subOneAll([2])), if_then_else(if_then_else([1], [1], [7], [2]), div([9], [4]), mul([8], [12]), div([6], [2]))))))), div([7], [11]))))), concatenate(add(repeat(div(add([11], [13]), concatenate([2], [2]))), subOneAll(sub(if_then_else([13], [3], [13], [5]), mul([4], [1])))), subOneAll(add(concatenate(add([9], [6]), concatenate([10], [4])), div(concatenate([9], [13]), sub([13], [9])))))), concatenate(add(addOneAll(concatenate(addOneAll(repeat([12])), if_then_else(add([11], [4]), add([4], [2]), if_then_else([10], [7], [11], [2]), concatenate([7], [13])))), add(if_then_else(sub(div([12], [7]), repeat([5])), add(addOneAll([8]), mul([7], [2])), div(concatenate([12], [3]), sub([5], [12])), repeat(addOneAll([9]))), if_then_else(add(concatenate([6], [9]), concatenate([12], [2])), mul(repeat([9]), mul([6], [10])), concatenate(sub([5], [1]), sub([11], [4])), addOneAll(if_then_else([3], [6], [1], [2]))))), if_then_else(concatenate(add(addOneAll(subOneAll([2])), add(subOneAll([13]), mul([9], [11]))), addOneAll(div(add([6], [11]), repeat([12])))), concatenate(repeat(if_then_else(subOneAll([1]), if_then_else([2], [4], [3], [12]), addOneAll([2]), if_then_else([8], [5], [7], [11]))), div(repeat(subOneAll([2])), repeat(add(add(subOneAll([13]), mul([9], [11])), [3])))), mul(mul(sub(addOneAll([9]), div([3], [3])), subOneAll(addOneAll([5]))), concatenate(div(subOneAll([7]), subOneAll([7])), add(mul([8], [4]), mul([1], [13])))), subOneAll(addOneAll(subOneAll(repeat([12]))))))), [11]), mul([7], [6]))), div(div(if_then_else([6], [10], [13], [5]), subOneAll([6])), mul(div([10], [7]), subOneAll([2]))))","[10, 6, 10, 6, 2]",5,10,6,10,6,2,,
,,,,,,,,1,2,3,4,5,6,
53578,5.011904762,28,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.276077234,"subOneAll(sub(concatenate(concatenate(mul(sub(addOneAll([7]), add([7], [6])), concatenate(subOneAll([5]), sub([2], [12]))), div(if_then_else(repeat([7]), if_then_else([11], [3], [4], [4]), div([10], [3]), add([11], [3])), div([4], [8]))), add(subOneAll(addOneAll(add([11], [1]))), add(div(repeat([1]), mul([1], [6])), addOneAll(sub([6], [8]))))), add(sub(concatenate(repeat([13]), repeat([10])), add(repeat([4]), sub([11], [12]))), if_then_else([8], addOneAll(if_then_else([3], [7], [2], [2])), sub(addOneAll([10]), add([3], mul(div(div(sub(repeat(div([3], [6])), subOneAll(div([12], [9]))), sub(sub(subOneAll([8]), subOneAll([9])), div(addOneAll([5]), subOneAll([1])))), subOneAll(div(repeat(concatenate([4], [6])), div(mul([7], [11]), addOneAll([3]))))), addOneAll(div(repeat(if_then_else(if_then_else([4], [7], [9], [6]), if_then_else([11], [3], [1], [6]), addOneAll([3]), if_then_else([13], [3], [6], [3]))), add(addOneAll(if_then_else([9], [10], [10], [3])), if_then_else(add(div(addOneAll(add(subOneAll(sub([3], [9])), if_then_else(subOneAll([7]), subOneAll([1]), div([9], [5]), repeat([9])))), concatenate(concatenate(subOneAll(repeat([9])), div(mul([9], [6]), subOneAll([6]))), repeat(repeat(mul([4], [2]))))), mul(repeat(subOneAll(subOneAll(mul([1], [10])))), mul(subOneAll(subOneAll(addOneAll([9]))), subOneAll(div(concatenate([9], [5]), subOneAll([5])))))), if_then_else(if_then_else(if_then_else(if_then_else(if_then_else(repeat([8]), div([3], [10]), mul([13], [8]), mul([5], [6])), sub(repeat([8]), addOneAll([9])), concatenate(div([9], [12]), sub([3], [13])), subOneAll(sub([13], [6]))), div(concatenate(concatenate([11], [11]), add([8], [2])), mul(add([1], [2]), subOneAll([6]))), sub(addOneAll(subOneAll([13])), repeat(repeat([5]))), addOneAll(addOneAll(mul([5], [4])))), add(mul(add(concatenate([9], [5]), subOneAll([2])), subOneAll(repeat([9]))), addOneAll(repeat(sub([6], [5])))), mul(addOneAll(addOneAll(div([3], [11]))), repeat(div(repeat([2]), concatenate([13], [3])))), addOneAll(subOneAll(add(sub([2], [11]), sub([13], [4]))))), mul(sub(sub(subOneAll(sub([5], [7])), sub(addOneAll([5]), mul([2], [8]))), mul(concatenate(repeat([9]), repeat([1])), if_then_else(if_then_else([9], [8], [3], [8]), repeat([11]), add([4], [2]), subOneAll([1])))), mul(sub(concatenate(add([3], [10]), div([11], [1])), div(concatenate([8], [10]), mul([10], [12]))), addOneAll(subOneAll(repeat([9]))))), sub(if_then_else(if_then_else(add(repeat([5]), div([8], [3])), if_then_else(concatenate([7], [2]), addOneAll([12]), add([1], [7]), if_then_else([7], [12], [6], [6])), repeat(subOneAll([8])), mul(add([3], [8]), sub([13], [12]))), if_then_else(addOneAll(add([2], [13])), subOneAll(mul([11], [10])), sub(sub([9], [4]), repeat([1])), div(if_then_else([12], [10], [11], [11]), add([2], [2]))), mul(addOneAll(div([2], [8])), subOneAll(concatenate([12], [10]))), add(repeat(sub([13], [2])), div(add([13], [13]), repeat([5])))), sub(addOneAll(subOneAll(sub([6], [10]))), div(repeat(mul([9], [9])), addOneAll(subOneAll([2]))))), concatenate(repeat(addOneAll(repeat(addOneAll([7])))), subOneAll(div(sub(subOneAll([6]), concatenate([11], [8])), mul(addOneAll([10]), if_then_else([11], [8], [10], [8])))))), mul(div(concatenate(addOneAll(mul(if_then_else([6], [11], [5], [13]), mul([9], [9]))), if_then_else(if_then_else(mul([2], [12]), addOneAll([3]), addOneAll([8]), concatenate([10], [7])), sub(mul([11], [13]), sub([13], [5])), if_then_else(mul([10], [2]), sub([2], [8]), concatenate([6], [2]), div([6], [4])), add(div([11], [9]), div([1], [3])))), addOneAll(subOneAll(repeat(sub([6], [4]))))), concatenate(addOneAll(add(div(addOneAll([10]), concatenate([13], [1])), addOneAll(repeat([1])))), subOneAll(add(subOneAll(if_then_else([9], [5], [9], [5])), div(div([3], [13]), concatenate([13], [6])))))), repeat(mul(div(repeat(if_then_else(subOneAll([1]), div([8], [13]), mul([9], [8]), sub([3], [5]))), div(div(addOneAll([3]), repeat([11])), addOneAll(subOneAll([6])))), if_then_else(add(add(add([5], [10]), repeat([6])), concatenate(repeat([5]), repeat([10]))), if_then_else(sub(mul([11], [5]), mul([4], [13])), addOneAll(addOneAll([8])), repeat(concatenate([7], [9])), sub(mul([11], [8]), concatenate([2], [7]))), addOneAll(mul(if_then_else([13], [9], [8], [6]), repeat([8]))), add(mul(subOneAll([3]), mul([11], [2])), subOneAll(div([9], [6]))))))))))))), subOneAll(repeat([7]))))))","[6, 6, 6, 4, 2]",6,6,6,6,4,2,,
53795,6,24,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.312815729,"sub(concatenate(repeat(concatenate(subOneAll([7]), mul([9], [2]))), subOneAll(addOneAll(if_then_else([13], [6], [7], [9])))), addOneAll(if_then_else(mul(sub([11], [9]), div([6], [5])), div(repeat([4]), subOneAll([6])), subOneAll(if_then_else([3], [4], [1], [2])), concatenate(addOneAll([10]), repeat(mul(concatenate(concatenate(repeat(concatenate(subOneAll(mul([6], [9])), mul(addOneAll([4]), addOneAll([13])))), concatenate(subOneAll(mul(concatenate(subOneAll(if_then_else(if_then_else(concatenate(concatenate(div([13], [6]), add([3], [2])), div(div([13], [13]), sub([5], [1]))), if_then_else(subOneAll(add([10], [12])), if_then_else(mul([3], [11]), repeat([13]), if_then_else([5], [4], [1], [6]), add([5], [10])), mul(if_then_else([12], [1], [2], [2]), addOneAll([10])), repeat(add([12], [7]))), div(if_then_else(sub([2], [5]), div([5], [11]), repeat([5]), div([4], [8])), addOneAll(sub([1], [7]))), mul(repeat(mul([10], [6])), concatenate(subOneAll([9]), addOneAll([6])))), concatenate(repeat(subOneAll(sub([12], [10]))), if_then_else(subOneAll(subOneAll([11])), repeat(sub([2], [10])), sub(addOneAll([7]), if_then_else([1], [13], [1], [7])), concatenate(if_then_else([7], [12], [4], [5]), repeat([6])))), sub(mul(repeat(addOneAll([10])), repeat(repeat([8]))), if_then_else(if_then_else(div([2], [5]), add([2], [8]), div([1], [6]), addOneAll([3])), addOneAll(addOneAll([10])), mul(concatenate([10], [5]), subOneAll([4])), addOneAll(add([8], [13])))), add(sub(if_then_else(addOneAll([3]), concatenate([2], [9]), sub([8], [9]), mul([4], [5])), subOneAll(addOneAll([9]))), mul(div(concatenate([5], [12]), add([9], [2])), add(mul([5], [2]), addOneAll([1])))))), [9]), if_then_else([7], [6], [4], [5]))), addOneAll(div(addOneAll([6]), sub([13], [9]))))), div(add(div(subOneAll(concatenate([5], [12])), add(mul([1], [10]), concatenate([1], [13]))), repeat(repeat(repeat([4])))), mul(subOneAll(concatenate(add([3], [13]), addOneAll([11]))), div(if_then_else(add([10], [8]), sub([13], [8]), concatenate([11], [1]), add([13], [12])), addOneAll(repeat([2])))))), add(add(addOneAll(addOneAll(add(div([10], [13]), repeat([13])))), [10]), repeat(concatenate(subOneAll(div(repeat([2]), sub([5], [4]))), if_then_else(if_then_else(subOneAll([12]), mul([13], [10]), addOneAll([5]), mul([11], [1])), subOneAll(subOneAll([8])), subOneAll(add([12], [8])), mul(div([3], [1]), subOneAll([1]))))))))))))","[6, 6, 6, 6, 13, 2]",7,6,6,6,6,13,2,
54137,6,18,"[1, 3, 6, 10, 6, 10, 6, 10, 4, 2]",0.296473529,"div(concatenate(mul([10], div(repeat(subOneAll([9])), mul(addOneAll([6]), add([10], [9])))), addOneAll(concatenate(repeat(repeat([5])), subOneAll([8])))), repeat(sub(repeat(addOneAll(div([10], [2]))), div(repeat(repeat([5])), if_then_else(concatenate(if_then_else(sub(repeat([7]), subOneAll([1])), subOneAll(if_then_else([6], [6], [12], [1])), if_then_else(if_then_else([8], [3], [11], [5]), mul([3], [10]), subOneAll([9]), mul([13], [8])), subOneAll(subOneAll([6]))), repeat(concatenate(concatenate([2], [12]), if_then_else([8], [2], [10], [3])))), addOneAll(if_then_else(concatenate(div([5], [2]), repeat([1])), if_then_else(add([5], [8]), mul([6], [5]), if_then_else([9], [1], [13], [6]), concatenate(subOneAll([9]), [8])), addOneAll(repeat([2])), mul(if_then_else([6], [10], [7], [10]), mul([11], [8])))), repeat(div(mul(if_then_else([2], [7], [3], [11]), concatenate([3], [6])), if_then_else(subOneAll([11]), div([3], [5]), add([3], [8]), addOneAll([5])))), add(subOneAll(repeat(addOneAll([9]))), addOneAll(concatenate(add([4], [4]), subOneAll([13])))))))))","[3, 6, 6, 6, 6, 2]",8,3,6,6,6,6,2,
54398,6,19,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.078045554,"add(repeat(if_then_else(mul(add(subOneAll(add(addOneAll(add([9], [5])), repeat(add([10], [1])))), concatenate(sub(concatenate(add([2], [10]), add([8], [1])), mul(repeat([11]), addOneAll([13]))), if_then_else(subOneAll(repeat([2])), subOneAll(addOneAll([6])), mul(sub([7], [2]), addOneAll([9])), if_then_else(add([6], [12]), div([9], [10]), add([13], [2]), subOneAll([13]))))), [3]), div([8], [4]), repeat([12]), concatenate([6], [8]))), addOneAll([5]))","[10, 6, 8, 10, 6, 2]",9,10,6,8,10,6,2,
54602,5,24,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.083301503,"if_then_else(if_then_else(addOneAll(if_then_else(concatenate([13], repeat(mul([8], [1]))), add([6], [2]), concatenate([5], [12]), sub([13], [9]))), add(if_then_else(addOneAll(subOneAll(addOneAll(add(if_then_else([13], [1], [7], [1]), subOneAll([6]))))), mul(subOneAll(mul(concatenate(mul([6], [13]), div([10], [6])), add(div([3], [5]), div([9], [11])))), repeat(if_then_else(if_then_else(repeat([11]), repeat([7]), mul([10], [11]), subOneAll([7])), addOneAll(sub([8], [4])), addOneAll(div([9], [3])), sub(sub([12], [7]), concatenate([5], [3]))))), if_then_else(repeat(if_then_else(subOneAll(div([6], [9])), div(repeat([9]), sub([7], [12])), subOneAll(add([12], [8])), addOneAll(mul([13], [12])))), subOneAll(div(div(sub([7], [13]), add([13], [7])), subOneAll(addOneAll([12])))), if_then_else(mul(sub(concatenate([4], [9]), concatenate([5], [11])), if_then_else(sub([9], [9]), mul([10], [5]), subOneAll([12]), repeat([3]))), add(sub(mul([8], [6]), addOneAll([9])), repeat(div([10], [1]))), concatenate(addOneAll(if_then_else([13], [13], [3], [7])), repeat(if_then_else([5], [12], [10], [4]))), subOneAll(subOneAll(add([13], [13])))), if_then_else(addOneAll(div(subOneAll([7]), mul([6], [3]))), mul(add(if_then_else([5], [1], [8], [3]), if_then_else([13], [8], [11], [8])), div(sub([7], [2]), repeat([7]))), sub(div(repeat([3]), div([3], [6])), if_then_else(if_then_else([12], [8], [8], [1]), mul([7], [11]), repeat([2]), repeat([5]))), div(subOneAll(add([12], [1])), div(add([10], [6]), div([10], [4]))))), mul(add(div(addOneAll(add([5], [9])), mul(addOneAll([8]), if_then_else([2], [6], [2], [12]))), sub(addOneAll(sub([4], [9])), subOneAll(if_then_else([6], [10], [1], [11])))), sub(concatenate(if_then_else(div([8], [9]), repeat([4]), sub([13], [11]), div([10], [12])), mul(subOneAll([1]), repeat([2]))), add(div(subOneAll([13]), add([9], [3])), div(mul([4], [2]), concatenate([10], [7])))))), if_then_else(sub(sub(if_then_else(repeat(subOneAll([13])), subOneAll(repeat([8])), subOneAll(sub([10], [3])), addOneAll(addOneAll([7]))), repeat(if_then_else(if_then_else([1], [4], [11], [4]), if_then_else([13], [9], [8], [2]), concatenate([7], [9]), mul([13], [4])))), subOneAll(concatenate(add(concatenate([2], [13]), sub([6], [9])), sub(mul([8], [5]), mul([1], [11]))))), addOneAll(add(div(mul(add([9], [7]), concatenate([4], [8])), concatenate(concatenate([4], [5]), mul([1], [10]))), mul(if_then_else(add([4], [11]), subOneAll([1]), concatenate([8], [11]), concatenate([3], [4])), addOneAll(mul([10], [5]))))), mul(add(subOneAll(subOneAll(if_then_else([6], [10], [2], [3]))), add(concatenate(div([1], [10]), mul([11], [13])), subOneAll(sub([11], [3])))), sub(concatenate(sub(add([3], [8]), repeat([9])), div(repeat([12]), repeat([5]))), add(addOneAll(add([11], [12])), if_then_else(concatenate([8], [3]), if_then_else([9], [2], [1], [8]), concatenate([7], [5]), if_then_else([10], [4], [2], [7]))))), if_then_else(add(add(mul(add([2], [5]), repeat([8])), sub(subOneAll([3]), add([5], [7]))), concatenate(div(repeat([13]), addOneAll([11])), div(div([1], [1]), repeat([10])))), if_then_else(addOneAll(subOneAll(if_then_else([6], [7], [5], [10]))), concatenate(mul(mul([8], [9]), add([1], [9])), if_then_else(addOneAll([2]), concatenate([12], [10]), mul([3], [13]), addOneAll([12]))), if_then_else(sub(div([1], [1]), subOneAll([2])), if_then_else(if_then_else([2], [9], [2], [8]), subOneAll([13]), if_then_else([9], [2], [4], [10]), div([10], [3])), addOneAll(mul([6], [12])), sub(mul([8], [11]), if_then_else([4], [10], [2], [7]))), addOneAll(addOneAll(subOneAll([8])))), div(sub(addOneAll(subOneAll([9])), subOneAll(mul([3], [9]))), div(mul(if_then_else([4], [9], [12], [7]), div([6], [6])), add(subOneAll([6]), subOneAll([8])))), div(addOneAll(concatenate(concatenate([8], [10]), mul([4], [2]))), repeat(repeat(add([1], [2]))))))), subOneAll(sub(concatenate([6], [11]), sub([1], [7]))), addOneAll(add(add([5], [5]), concatenate([6], [5])))), concatenate(addOneAll(div(addOneAll([9]), sub([8], [4]))), div(concatenate(mul([7], [7]), subOneAll([4])), if_then_else(div([11], [4]), concatenate([8], [7]), add([11], [4]), repeat([4])))), mul(if_then_else(if_then_else(div([11], [3]), mul([8], [8]), div([9], [6]), repeat([10])), repeat(subOneAll([6])), subOneAll(mul([11], [7])), concatenate(div([10], [7]), subOneAll([5]))), mul(if_then_else(div([2], [5]), addOneAll([9]), addOneAll(mul(concatenate(if_then_else(subOneAll([11]), repeat([12]), addOneAll([7]), addOneAll([5])), subOneAll(repeat([12]))), sub(div(if_then_else([1], [6], [11], [3]), div([13], [2])), add(sub([2], [6]), concatenate([12], [9]))))), repeat([12])), repeat(addOneAll([7])))), sub([6], repeat(div(concatenate([10], [11]), mul([13], [8])))))","[1, 10, 10, 6, 6, 10]",10,1,10,10,6,6,10,
